FEATURE	GAIN	WEIGHT	COVER	TOTAL_GAIN	TOTAL_COVER
Consistent_Mates	3.1842105453540013	50	40.20753788999999	159.21052726770006	2010.3768944999995
InDel_Length	4.887304234649334	121	49.77610886206613	591.3638123925695	6022.909172310002
Inconsistent_Mates	1.501998043742857	21	19.237682409523806	31.5419589186	403.99133059999997
M2_ECNT	1.8097932678999997	17	36.46521391705882	30.766485554299994	619.9086365899999
M2_NLOD	1.6283006067227264	44	22.80238827954545	71.64522669579996	1003.3050842999997
M2_STR	29.274324619140003	10	180.915844003	292.74324619140003	1809.1584400299998
M2_TLOD	0.9697761739090958	210	19.898831959952386	203.6529965209101	4178.754711590001
MSI	5.72137734455941	68	58.926007784117665	389.0536594300399	4006.9685293200014
MSILEN	0.7568785366434782	23	8.671687773043477	17.408206342799996	199.44881877999995
MaxHomopolymer_Length	0.8084219459494995	40	46.44585958299999	32.336877837979976	1857.8343833199995
N_ALT_FOR	11.42236815845	4	167.36876095	45.6894726338	669.4750438
N_ALT_REV	0.309169561	1	46.2372742	0.309169561	46.2372742
N_DP	1.1684764325674466	47	27.367784320425528	54.91839233066999	1286.2858630599999
N_REF_FOR	1.2706892641003544	141	15.765700586312063	179.16718623814998	2222.963782670001
N_REF_REV	0.7288942244913038	115	12.580167502782603	83.82283581649993	1446.7192628199994
SHIFT3	3.1459354014896173	131	42.55570570503817	412.1175375951399	5574.797447360001
SOR	36.08707002461428	7	403.57078662857145	252.60949017229996	2824.9955064
Seq_Complexity_Adj	0.9668303483208335	96	16.936048669062497	92.81571343880002	1625.8606722299996
Seq_Complexity_Span	1.953430603614999	100	45.881310347600014	195.3430603614999	4588.131034760001
SiteHomopolymer_Length	0.6172983774473684	19	56.40004700368421	11.7286691715	1071.60089307
Strelka_Score	1.46702048772859	227	28.935405509559487	333.01365071438994	6568.337050670004
T_ALT_FOR	5.1559822326626135	195	40.65386633861541	1005.4165353692096	7927.503936030004
T_ALT_REV	3.1572504388663716	171	26.549526825438626	539.8898250461496	4539.969087150005
T_DP	0.5536525116767924	53	15.69596706849056	29.343583118869997	831.8862546299997
T_REF_FOR	1.3494065839152007	125	25.358721785440004	168.6758229894001	3169.8402231800005
T_REF_REV	0.5917791541143924	107	22.11723681177571	63.32036949023999	2366.544338860001
VarDict_Score	26.905832822433148	150	58.07894607386663	4035.8749233649723	8711.841911079995
VarScan2_Score	4.053215260374193	62	51.93530294887094	251.29934614319995	3219.9887828299984
if_Caller_0	4.034452050427586	29	18.851892866896552	116.99910946239997	546.70489314
if_MuTect	51.42145361717271	11	171.39653484272728	565.6359897888998	1885.36188327
if_Scalpel	4.323339994995453	44	40.100358433863626	190.22695977979993	1764.4157710899997
if_Strelka	1.06421781	1	42.382534	1.06421781	42.382534
if_VarDict	4.55516888548625	40	56.34472553750002	182.20675541945	2253.7890215000007
if_VarScan2	3.6976559043021746	92	36.30163715652173	340.18434319580007	3339.750618399999
nBAM_ALT_Concordant	2.65850074625	4	127.82720843999999	10.634002985	511.30883375999997
nBAM_ALT_NM	74.87789197566667	3	491.7730256666667	224.633675927	1475.319077
nBAM_NM_Diff	2.731808583333334	9	164.4244409777778	24.586277250000006	1479.8199688000002
nBAM_Other_Reads	0.8495523338983998	25	49.825433097200005	21.238808347459994	1245.63582743
nBAM_REF_BQ	0.47944582510640255	139	18.292358744100717	66.64296968978995	2542.6378654299997
nBAM_REF_Clipped_Reads	1.689011428097222	36	59.40535350388888	60.80441141149999	2138.5927261399997
nBAM_REF_Concordant	0.7525950168233336	30	17.710620354666666	22.57785050470001	531.31861064
nBAM_REF_Discordant	1.181975522053674	49	16.571010668775507	57.916800580630024	811.9795227699999
nBAM_REF_InDel_1bp	5.10016632	1	86.5249863	5.10016632	86.5249863
nBAM_REF_InDel_2bp	13.0810966	1	73.4542236	13.0810966	73.4542236
nBAM_REF_InDel_3bp	7.23758984	1	33.0353584	7.23758984	33.0353584
nBAM_REF_MQ	2.9453904096600003	5	68.22672698	14.726952048300001	341.1336349
nBAM_REF_NM	0.9948904032635714	126	20.466205628253956	125.35619081121	2578.7419091599986
nBAM_StrandBias_FET	0.351120219	2	108.8666152	0.702240438	217.7332304
nBAM_p_MannWhitneyU_BQ	1.7489828685727273	11	94.30824868090909	19.2388115543	1037.39073549
nBAM_p_MannWhitneyU_EndPos	2.9360496495000006	4	141.3449331175	11.744198598000002	565.37973247
nBAM_p_MannWhitneyU_MQ	2.3448029933600005	10	44.554089664	23.448029933600004	445.54089664
tBAM_ALT_BQ	3.74997972484	10	83.57800514	37.4997972484	835.7800514
tBAM_ALT_Clipped_Reads	1.2856067529285713	7	18.590316395714286	8.9992472705	130.13221477
tBAM_ALT_Concordant	0.7006533414180646	31	11.786210400967743	21.72025358396	365.37252243000006
tBAM_ALT_Discordant	2.6258885646736836	19	18.99028619578948	49.891882728799985	360.8154377200001
tBAM_ALT_MQ	0.780246735	1	96.2000504	0.780246735	96.2000504
tBAM_ALT_NM	1.8170534050597957	98	27.81849369102041	178.07123369585997	2726.2123817200004
tBAM_Clipping_FET	1.3203891651592587	27	21.603344751111113	35.65050745929999	583.2903082800001
tBAM_Concordance_FET	0.7521507940633332	30	15.926530449333338	22.564523821899996	477.79591348000014
tBAM_NM_Diff	2.007450748732001	120	40.541912841750026	240.89408984784012	4865.029541010003
