FEATURE	GAIN	WEIGHT	COVER	TOTAL_GAIN	TOTAL_COVER
Consistent_Mates	5.461806631803946	76	470.218997494605	415.09730401709993	35736.64380958998
GC2CG	5.502043154374998	28	124.77229633571427	154.05720832249995	3493.6242973999997
Inconsistent_Mates	6.700947649463635	11	166.87093648181818	73.71042414409999	1835.5803013
M2_ECNT	0.733078767388889	9	49.47213968333333	6.597708906500001	445.24925715
M2_NLOD	2.9581975026523804	21	27.13096747476191	62.12214755569999	569.7503169700001
M2_TLOD	79.70538881357012	97	707.8518494483504	7731.422714916302	68661.62939649
MSI	2.1454161973673074	52	28.988774045384613	111.56164226309998	1507.4162503599998
MSILEN	0.845593178422222	9	10.215544335555556	7.610338605799998	91.93989902000001
MaxHomopolymer_Length	0.5923359797402942	34	19.944555798529418	20.139423311170003	678.1148971500002
MuSE_Tier	5.923913	1	18.313221	5.923913	18.313221
N_ALT_FOR	0.7165630460000001	2	85.44630434999999	1.4331260920000002	170.89260869999998
N_DP	1.0698641310460677	89	27.66143110269662	95.21790766310002	2461.867368139999
N_REF_FOR	0.9129241990613205	159	17.899842255597495	145.15494765074996	2846.0749186400017
N_REF_REV	1.0464257695736243	165	18.740326411757568	172.660251979648	3092.1538579399985
SHIFT3	1.262621083339714	35	31.82600911428573	44.19173791688999	1113.9103190000005
SOR	1.4189744480533335	15	28.89614143	21.284616720800003	433.44212145
Seq_Complexity_Adj	1.1797342061942078	174	25.89905204735632	205.27375187779214	4506.4350562399995
Seq_Complexity_Span	1.5006556701613607	175	31.484316261142837	262.6147422782381	5509.755345699997
SiteHomopolymer_Length	1.2915109977470587	51	18.125801038039224	65.86706088509999	924.4158529400004
Strelka_Score	42.39398632490171	59	106.43152471847456	2501.245193169201	6279.459958389999
T_ALT_FOR	2.297514060765573	122	48.6717827529508	280.2967154133999	5937.957495859997
T_ALT_REV	2.3128340530123808	105	55.9064927057143	242.84757556629998	5870.181734100001
T_DP	1.777748722497669	73	31.224721737808217	129.77565674232983	2279.40468686
T_REF_FOR	1.6393621172694604	167	25.227905772215575	273.7734735839999	4213.060263960001
T_REF_REV	1.3141292258054933	142	16.426255429014084	186.60635006438005	2332.52827092
VarDict_Score	11.537822452002331	146	550.7013014374658	1684.5220779923404	80402.39000987
VarScan2_Score	3.4254971760852873	104	74.42628372394228	356.2517063128699	7740.333507289997
if_Caller_0	3.8181338923956516	23	459.08128300304344	87.81707952509998	10558.869509069998
if_LoFreq	3.1095233410666663	3	20.936149590000003	9.3285700232	62.808448770000005
if_MuTect	8.590388945299999	9	99.81113799999999	77.31350050769998	898.3002419999999
if_Strelka	11.775094750725	4	61.805445275000004	47.1003790029	247.22178110000002
if_VarDict	20.84017769344054	37	671.1143048686487	771.0865746573	24831.22928014
if_VarScan2	5.111345968188889	9	96.67366528888888	46.0021137137	870.0629875999999
nBAM_ALT_BQ	10.0659227	1	21.1622753	10.0659227	21.1622753
nBAM_ALT_Concordant	1.6244486260333335	3	74.1042608	4.8733458781	222.3127824
nBAM_Concordance_FET	3.12203789	1	244.456009	3.12203789	244.456009
nBAM_MQ0	11.01929499	2	185.603218	22.03858998	371.206436
nBAM_NM_Diff	3.254206812500001	12	122.09353300083332	39.05048175000001	1465.1223960099999
nBAM_Other_Reads	1.71377353615	22	408.7382107618181	37.7030177953	8992.240636759998
nBAM_REF_BQ	1.008357095932952	254	29.60126686637794	256.1227023669698	7518.721784059997
nBAM_REF_Clipped_Reads	1.3797317220351846	54	28.296516626851844	74.50551298989997	1528.0118978499995
nBAM_REF_Concordant	0.8823817597187499	64	17.999157464843744	56.47243262199999	1151.9460777499996
nBAM_REF_Discordant	2.149306311140219	158	37.50215028025314	339.5903971601546	5925.339744279996
nBAM_REF_InDel_3bp	0.502448678	1	13.8951778	0.502448678	13.8951778
nBAM_REF_MQ	7.012216394666667	3	2866.920737433334	21.036649184	8600.762212300002
nBAM_REF_NM	1.31126109800528	235	24.058210431446824	308.14635803124077	5653.679451390004
nBAM_StrandBias_FET	3.7418249707777775	9	229.3376106166667	33.676424737	2064.0384955500003
nBAM_p_MannWhitneyU_BQ	2.1367066898454548	11	62.44848225909091	23.503773588300003	686.93330485
nBAM_p_MannWhitneyU_EndPos	2.9598617115833346	12	149.10910016833336	35.518340539000015	1789.3092020200002
nBAM_p_MannWhitneyU_MQ	2.0292105459866665	15	21.518708373333332	30.4381581898	322.7806256
tBAM_ALT_BQ	12.481082907342861	42	175.4753071647619	524.2054821084001	7369.96290092
tBAM_ALT_Concordant	5.670876540233846	65	77.44669529261537	368.6069751152	5034.035194019999
tBAM_ALT_Discordant	8.420911329610712	56	59.71122103660713	471.5710344581999	3343.828378049999
tBAM_ALT_InDel_1bp	0.8211471583333333	3	164.18237413333335	2.4634414749999998	492.54712240000003
tBAM_ALT_InDel_2bp	1.2557655555	2	122.15663900000001	2.511531111	244.31327800000003
tBAM_ALT_InDel_3bp	2.7676364199999997	2	55.075075149999996	5.535272839999999	110.15015029999999
tBAM_ALT_MQ	9.5204277	1	87.6500168	9.5204277	87.6500168
tBAM_ALT_NM	5.775618865344234	52	84.2871320725	300.3321809979002	4382.93086777
tBAM_Concordance_FET	0.7732173011387101	31	31.61777835548387	23.969736335300013	980.15112902
tBAM_NM_Diff	2.3087738940532048	156	30.862802336089736	360.16872747229996	4814.597164429999
tBAM_Other_Reads	6.3004027364587	46	1088.0006378391306	289.8185258771002	50048.029340600006
tBAM_REF_BQ	0.8340675187754054	148	20.55945348047295	123.44199277876	3042.7991151099964
tBAM_REF_Clipped_Reads	2.720331431802703	37	57.484014072973004	100.65226297670002	2126.908520700001
tBAM_REF_Concordant	5.547136731398214	101	61.094523003663355	560.2608098712196	6170.5468233699985
tBAM_REF_Discordant	1.9955769119021818	165	25.95931159860604	329.27019046386	4283.286413769996
tBAM_REF_InDel_2bp	0.620425045	1	163.747513	0.620425045	163.747513
tBAM_REF_MQ	2.1366162243333333	3	81.90948546666667	6.409848673	245.7284564
tBAM_REF_NM	1.1446114096765403	185	20.79322007810812	211.75311079015995	3846.7457144500027
tBAM_StrandBias_FET	1.2125667879970419	142	12.24573690985916	172.18448389557994	1738.8946412000007
tBAM_p_MannWhitneyU_BQ	2.8562181630097196	142	40.46455718126762	405.5829791473802	5745.967119740002
tBAM_p_MannWhitneyU_EndPos	2.1218560868263148	236	42.318488241822	500.75803649101033	9987.163225069993
tBAM_p_MannWhitneyU_MQ	5.558498539888889	9	49.872862722222216	50.026486859	448.85576449999996
