FEATURE	GAIN	WEIGHT	COVER	TOTAL_GAIN	TOTAL_COVER
Consistent_Mates	2.1027390327606064	66	39.9445944568182	138.78077616220003	2636.343234150001
InDel_Length	3.891389170716604	103	56.763978370291255	400.8130845838102	5846.689772139999
Inconsistent_Mates	0.8645640645500005	22	10.793254543181819	19.02040942010001	237.45159995000003
M2_ECNT	1.343020331757143	21	21.26927997619048	28.203426966900004	446.65487950000005
M2_NLOD	1.532052105020513	39	16.261473131282052	59.7500320958	634.19745212
M2_STR	36.83593725436111	18	441.1372736622222	663.0468705785	7940.470925919999
M2_TLOD	1.2743158549403277	214	27.407399173598137	272.7035929572301	5865.1834231500015
MSI	3.0489844895697935	96	38.85280860572916	292.7025109987002	3729.8696261499995
MSILEN	2.472645975016666	24	8.380328216666665	59.34350340039999	201.12787719999997
MaxHomopolymer_Length	1.0730663432429732	37	21.073742404594594	39.70345469999001	779.72846897
N_ALT_FOR	3.430745706	4	76.7101159	13.722982824	306.8404636
N_ALT_REV	0.294944346	1	15.0922699	0.294944346	15.0922699
N_DP	1.442613833449429	35	21.102478829428566	50.49148417073001	738.5867590299998
N_REF_FOR	1.7200563542296248	133	17.906682578421044	228.7674951125401	2381.588782929999
N_REF_REV	0.8958780589612706	118	13.540061944237296	105.71361095742994	1597.727309420001
SHIFT3	2.43680433476063	143	53.61256541720279	348.4630198707701	7666.596854659999
SOR	18.441562112285713	7	226.8827056714286	129.090934786	1588.1789397000002
Seq_Complexity_Adj	1.1045355257936031	111	16.838010277747756	122.60344336308994	1869.019140830001
Seq_Complexity_Span	2.0407250976838944	95	28.632037994947375	193.86888427997	2720.0436095200007
SiteHomopolymer_Length	1.3776085029804	25	37.526923672799995	34.44021257451	938.17309182
Strelka_Score	33.770913450449235	186	68.00734107252691	6281.389901783558	12649.365439490006
T_ALT_FOR	5.27151118404149	188	40.273345067287245	991.0441025998001	7571.388872650002
T_ALT_REV	3.798480659433522	176	22.60514620409091	668.5325960602999	3978.50573192
T_DP	1.0256610417557144	49	20.270832207346935	50.25739104603001	993.2707781599997
T_REF_FOR	1.1935745168307692	117	20.238713193760685	139.6482184692	2367.92944367
T_REF_REV	0.9941484170093815	97	14.264907337731962	96.43239644991	1383.6960117600004
VarDict_Score	2.214326627295484	113	56.999281853893805	250.2189088843897	6440.91884949
VarScan2_Score	27.77913456812803	51	178.69848063588236	1416.7358629745295	9113.62251243
if_Caller_0	19.060567892705	18	109.0438792611111	343.09022206868997	1962.7898266999998
if_MuTect	29.204573605474057	32	137.6778486040625	934.5463553751698	4405.69115533
if_Scalpel	3.4809007158584917	53	55.45819126396225	184.48773794050007	2939.2841369899993
if_VarDict	5.16778934251766	47	65.5608722982979	242.88609909833002	3081.360998020001
if_VarScan2	2.7890216169674695	83	27.511826886265062	231.48879420829996	2283.48163156
nBAM_ALT_Concordant	1.5124382996	5	145.95280286	7.562191498000001	729.7640143
nBAM_ALT_NM	5.4752790207499995	4	190.592492075	21.901116082999998	762.3699683
nBAM_NM_Diff	3.1144940479692305	13	90.11691947923076	40.488422623599995	1171.5199532299998
nBAM_Other_Reads	1.6875183360310346	29	46.45928794793104	48.9380317449	1347.31935049
nBAM_REF_BQ	0.6169918267999042	104	15.239338281442304	64.16714998719003	1584.8911812699996
nBAM_REF_Clipped_Reads	1.468605162091892	37	35.84003503378379	54.338390997400005	1326.0812962500004
nBAM_REF_Concordant	0.6231901807039999	25	26.897039311199997	15.579754517599998	672.4259827799999
nBAM_REF_Discordant	0.7802701125561644	73	23.347162019178086	56.9597182166	1704.3428274000003
nBAM_REF_InDel_1bp	0.683610737	1	148.025742	0.683610737	148.025742
nBAM_REF_InDel_3bp	5.85347509	1	64.1456146	5.85347509	64.1456146
nBAM_REF_MQ	2.9417184443479996	15	167.6638032986667	44.125776665219995	2514.9570494800005
nBAM_REF_NM	0.9667488743316036	106	19.34182068896226	102.47538067914998	2050.2329930299998
nBAM_StrandBias_FET	1.37042177	1	167.202515	1.37042177	167.202515
nBAM_p_MannWhitneyU_BQ	3.0112623563916663	12	162.71796690000002	36.135148276699994	1952.6156028000003
nBAM_p_MannWhitneyU_EndPos	6.126961238114286	7	92.27737930714284	42.888728666800006	645.9416551499999
nBAM_p_MannWhitneyU_MQ	3.4531133882	5	27.621006586	17.265566941	138.10503293
tBAM_ALT_BQ	0.0579056293	1	4.23277378	0.0579056293	4.23277378
tBAM_ALT_Clipped_Reads	1.6007143301	9	28.58696441111111	14.4064289709	257.2826797
tBAM_ALT_Concordant	0.7614467713947368	19	25.238012072105267	14.467488656499999	479.5222293700001
