FEATURE	GAIN	WEIGHT	COVER	TOTAL_GAIN	TOTAL_COVER
Consistent_Mates	3.860929201133174	104	122.74978181653844	401.5366369178501	12765.977308919999
GC2CG	2.998969003508	25	98.131010664	74.97422508769999	2453.2752666
Inconsistent_Mates	7.60619273016	25	55.383374367599984	190.154818254	1384.5843591899995
M2_ECNT	1.7628706802866672	15	10.109190465333336	26.443060204300007	151.63785698000004
M2_NLOD	1.9346009719026465	34	25.667037297058823	65.77643304468998	872.6792681
M2_TLOD	82.32634028478608	115	1468.94753419313	9467.5291327504	168928.96643220994
MSI	1.3704412269195119	41	17.225992203414634	56.18809030369999	706.26568034
MSILEN	1.5956540706947369	19	32.76795452157895	30.317427343200002	622.59113591
MaxHomopolymer_Length	0.7004297555100002	30	17.051743523666666	21.012892665300004	511.5523057099999
MuSE_Tier	0.44292926074	5	32.05833508	2.2146463037	160.2916754
N_ALT_FOR	0.9182589192499999	4	71.684792075	3.6730356769999997	286.7391683
N_ALT_REV	0.359737813	1	8.87917042	0.359737813	8.87917042
N_DP	1.4147134761743243	74	21.505392204729734	104.6887972369	1591.3990231500004
N_REF_FOR	0.8506944244204356	117	17.931246525470097	99.53124765719097	2097.9558434800015
N_REF_REV	1.1474164829737965	108	25.880456403425907	123.92098016117002	2795.089291569998
SHIFT3	1.47851264105862	29	11.509261252413792	42.87686659069998	333.76857631999997
SOR	4.383169303391666	12	122.29430124166664	52.59803164069999	1467.5316148999998
Seq_Complexity_Adj	1.208082318988777	139	19.481757797338137	167.92344233944002	2707.964333830001
Seq_Complexity_Span	1.0195389957477032	148	21.68037606824324	150.89177137066008	3208.6956581
SiteHomopolymer_Length	1.1121802431656096	41	21.796884509512193	45.59938996978999	893.67226489
Strelka_Score	16.829305960577052	61	1138.274396418361	1026.5876635952002	69434.73818152002
T_ALT_FOR	2.506629235066741	132	45.54655395371213	330.8750590288098	6012.145121890001
T_ALT_REV	2.7449888229499346	156	94.2523593910897	428.2182563801898	14703.368065009992
T_DP	0.8953174751498668	75	16.694025485066675	67.14881063624001	1252.0519113800005
T_REF_FOR	1.44114046381626	139	17.235834204028777	200.31852447046012	2395.78095436
T_REF_REV	1.3147844518118181	110	20.743889412363636	144.6262896993	2281.82783536
VarDict_Score	19.9492015176009	135	149.17849021585178	2693.1422048761215	20139.09617913999
VarScan2_Score	4.0210356430609995	90	837.934919702333	361.89320787548996	75414.14277320997
if_Caller_0	13.886234671127273	22	203.81309070454554	305.4971627648	4483.887995500002
if_LoFreq	43.15018114365	2	166.16458715	86.3003622873	332.3291743
if_MuTect	11.40139531	2	74.2373106	22.80279062	148.4746212
if_VarDict	10.336027079713336	15	279.10776606733333	155.04040619570003	4186.61649101
if_VarScan2	4.202212401192858	14	37.265344285714285	58.83097361670001	521.71482
nBAM_ALT_BQ	0.010867392175	2	12.689096	0.02173478435	25.378192
nBAM_ALT_Concordant	1.0480121822	6	121.97920486666668	6.2880730931999995	731.8752292
nBAM_ALT_MQ	8.36968803	1	10.8706818	8.36968803	10.8706818
nBAM_ALT_NM	0.0337622017	1	18.1272011	0.0337622017	18.1272011
nBAM_NM_Diff	5.5434893701200005	10	89.93374650999999	55.434893701200004	899.3374650999999
nBAM_Other_Reads	6.169727559885714	14	5255.145115103572	86.37618583839999	73572.03161145
nBAM_REF_BQ	0.7351096540373585	212	18.242973032877345	155.84324665592	3867.5102829699968
nBAM_REF_Clipped_Reads	2.68005676205549	51	45.330767802941175	136.68289486483	2311.86915795
nBAM_REF_Concordant	0.9231590505857442	47	14.142907518297875	43.38847537752998	664.7166533600001
nBAM_REF_Discordant	1.5085245798731741	126	18.641184821825405	190.07409706401995	2348.789287550001
nBAM_REF_InDel_3bp	0.541323662	1	20.8086338	0.541323662	20.8086338
nBAM_REF_MQ	6.509409746666666	6	8285.958783666667	39.056458479999996	49715.752702
nBAM_REF_NM	1.4097383880126912	182	22.123572652087926	256.5723866183098	4026.4902226800023
nBAM_StrandBias_FET	0.5939103215	2	100.2242316	1.187820643	200.4484632
nBAM_p_MannWhitneyU_BQ	1.623833553807143	14	70.29800346857145	22.7336697533	984.1720485600002
nBAM_p_MannWhitneyU_EndPos	1.2310901476800002	10	87.89196473999999	12.310901476800002	878.9196473999999
nBAM_p_MannWhitneyU_MQ	2.26085779425	4	24.996886257499998	9.043431177	99.98754502999999
tBAM_ALT_BQ	2.672077726962941	17	48.06028369176471	45.42532135837	817.0248227600001
tBAM_ALT_Concordant	23.103462071963463	52	601.9857930323079	1201.3800277421	31303.26123768001
tBAM_ALT_Discordant	13.530701203121794	78	697.2781565865389	1055.3946938435	54387.69621375003
tBAM_ALT_InDel_3bp	5.2748492735	4	64.576303075	21.099397094	258.3052123
tBAM_ALT_MQ	3.6838280683199995	5	110.02059772	18.4191403416	550.1029886
tBAM_ALT_NM	3.323739053105434	92	30.163906217500006	305.78399288569994	2775.0793720100005
