FEATURE	GAIN	WEIGHT	COVER	TOTAL_GAIN	TOTAL_COVER
Consistent_Mates	5.213001972631742	126	40.608034102222234	656.8382485515995	5116.612296880002
GC2CG	3.588994133836666	30	122.40060869333333	107.66982401509999	3672.0182607999996
Inconsistent_Mates	4.434554017532256	31	76.85964178645159	137.47117454349993	2382.6488953799994
M2_ECNT	1.44256782924	45	20.743123394888887	64.9155523158	933.44055277
M2_TLOD	17.82592251199192	231	339.876033338398	4117.788100270133	78511.36370116993
MSI	0.5876724999662158	74	14.651778657432429	43.48776499749997	1084.2316206499997
MSILEN	1.554576850075	28	45.60608552571426	43.5281518021	1276.9703947199994
MaxHomopolymer_Length	0.9111694117196001	50	29.5548853036	45.558470585980004	1477.74426518
SHIFT3	1.1805669358272726	22	16.413544892272725	25.9724725882	361.09798763
Seq_Complexity_Adj	1.1550158066074419	215	21.297142983581402	248.3283984206	4578.885741470001
Seq_Complexity_Span	1.2238166056941473	212	24.502623716226417	259.4491204071592	5194.55622784
SiteHomopolymer_Length	0.7277268396587272	55	17.01235977709091	40.024976181229995	935.6797877400002
T_ALT_FOR	1.9658355745779528	166	61.065296376204806	326.3287053799402	10136.839198449998
T_ALT_REV	2.8077425576994006	167	46.023723527844304	468.8930071357999	7685.961829149999
T_DP	0.6581926788145714	175	15.509195617257147	115.18371879255	2714.109233020001
T_REF_FOR	1.1404334298219707	208	19.205532862307695	237.2101534029699	3994.7508353600006
T_REF_REV	1.7944142374153464	202	26.916862914702964	362.4716759579	5437.206308769999
VarScan2_Score	6.075101241599999	13	54.49284221615385	78.97631614079998	708.4069488100001
if_Caller_0	156.7097335662919	37	1173.0627222378382	5798.2601419528	43403.32072280002
if_LoFreq	9.209835843524997	20	69.332867789	184.19671687049996	1386.65735578
if_MuTect	146.26370335066315	19	135.17842819052635	2779.0103636626	2568.3901356200004
if_Strelka	6.622496154792856	14	101.81479838214285	92.71494616709998	1425.40717735
if_VarDict	20.708375884597434	39	101.3331481153846	807.6266594992999	3951.9927764999993
if_VarScan2	5.69381843856	15	60.551189359333335	85.4072765784	908.2678403900001
tBAM_ALT_BQ	2.587109083837501	56	26.407872600714303	144.87810869490005	1478.8408656400009
tBAM_ALT_Clipped_Reads	0.30858285459999996	3	7.534259800000001	0.9257485637999999	22.602779400000003
tBAM_ALT_Concordant	3.3955065918296334	81	57.20872649543206	275.0360339382003	4633.906846129997
tBAM_ALT_Discordant	4.3456010600443165	88	43.73555468295455	382.41289328389985	3848.7288121000006
tBAM_ALT_InDel_3bp	5.339355135	4	62.631928900000005	21.35742054	250.52771560000002
tBAM_ALT_MQ	2.8526697456125	16	114.269490325	45.6427159298	1828.3118452
tBAM_ALT_NM	3.521675286395048	105	38.95562936609523	369.77590507148	4090.3410834399992
tBAM_Clipping_FET	0.6506021709526316	19	15.109244026315787	12.3614412481	287.0756365
tBAM_Concordance_FET	2.6209331362004598	87	98.15747619689657	228.02118284943998	8539.700429130002
tBAM_MQ0	17.326653048249998	8	101.85564583125	138.61322438599998	814.84516665
tBAM_NM_Diff	1.3338247557209366	235	24.430089330765977	313.4488175944201	5741.070992730005
tBAM_Other_Reads	3.1960569405139254	79	153.51126751670895	252.4884983006001	12127.390133820007
tBAM_REF_BQ	0.8430676114506637	211	20.064360096966826	177.88726601609002	4233.57998046
tBAM_REF_Clipped_Reads	1.9585677176365892	85	36.11523771741176	166.47825599911008	3069.7952059799995
tBAM_REF_Concordant	2.072772637329327	119	22.79063128	246.65994384218993	2712.0851223199998
tBAM_REF_Discordant	2.3850289353972003	307	26.129020435211736	732.2038831669405	8021.609273610003
tBAM_REF_InDel_3bp	0.755429855525	4	38.102704025	3.0217194221	152.4108161
tBAM_REF_MQ	4.086207179911111	9	118.9044540888889	36.7758646192	1070.1400868
tBAM_REF_NM	0.9814814914171287	282	15.62578193237589	276.7777805796303	4406.470504930001
tBAM_StrandBias_FET	0.9114381076819313	202	20.650713660445547	184.11049775175013	4171.444159410001
tBAM_p_MannWhitneyU_BQ	1.3834302706036674	205	28.749516052390227	283.6032054737518	5893.650790739996
tBAM_p_MannWhitneyU_EndPos	1.7172521311532565	298	34.57145536302011	511.74113508367043	10302.293698179992
tBAM_p_MannWhitneyU_MQ	5.789475033666666	6	82.57681661666666	34.736850202	495.46089969999997
