chr1:204516377-204558120    MDM4
chr2:15940550-15947004 MYCN
chr2:120735868-120992653    GLI2
chr4:1721497-1745171 TACC3
chr4:1793293-1808872 FGFR3
chr4:54229127-54298245 PDGFRA
chr5:1253167-1295068    TERT
chr6:135181308-135219172 MYB
chr7:55019017-55211628 EGFR
chr7:92604921-92836573 CDK6
chr7:116672196-116798386 MET
chr7:138831377-138981626 KIAA1549
chr7:140713328-140924929 BRAF
chr8:38411143-38468635 FGFR1
chr8:38728205-38853028 TACC1
chr8:66562175-66613218  MYBL1
chr8:127735434-127742951    MYC
chr9:21967752-21995324 CDKN2A
chr9:22002903-22009313 CDKN2B
chr9:95442980-95516971 PTCH1
chr10:87863625-87971930 PTEN
chr10:129467241-129770983 MGMT
chr11:69641156-69654474 CCND1
chr12:4273762-4305353 CCND2
chr12:57747727-57752310 CDK4
chr12:68808149-68850686 MDM2
chr13:48303751-48481890 RB1
chr17:7668421-7687490 TP53
chr17:31094927-31377677 NF1
chr17:60600187-60666280 PPM1D
chr19:53665746-53761746 C19MC
chr22:23786966-23838009 SMARCB1
chr22:29603556-29698600 NF2
